0:1.2012538 1:-1.2528001564615205 2:1.0929413 3:2.852562055493587 4:0.9233588713702409
0 0:1.881699 1:-1.5990415175103647 2:3.1068450708760795 3:3.1318003934956082 4:0.5803168689733675
0 0:1.0391305 1:-0.7768106227590942 2:2.7737452095885935 3:1.3336177 4:2.5490295845916533
0 0:1.7255547 1:-1.551818231589063 2:1.4355299 3:1.2981102 4:1.2215603
0 0:3.21772650960124 1:-0.7801350756930722 2:1.0956383 3:1.4714803 4:1.2566622
0 0:1.8978642 1:-1.8034104295870506 2:2.9733309531711685 3:1.1250659 4:2.3113323770264316
0 0:1.7369573863047796 1:2.23267817062238 2:1.2539618 3:1.1096137 4:3.4389047530436527
0 0:1.3053276 1:1.2420848 2:0.0 3:1.2922342 4:-1.5669353911012887
0 0:1.6195866 1:-3.227781390487338 2:1.8116342641306058 3:1.1468146 4:1.2221252
0 0:2.284286358754781 1:-1.4624762812962666 2:1.081214 3:1.0174599 4:1.2589653
0 0:1.1565561 1:1.2926891 2:3.1825743046313204 3:1.2239387 4:3.6136201909455523
0 0:2.041115399408481 1:-1.2387794248357622 2:1.0766366 3:3.1613880172504247 4:1.8783594646234556
0 0:1.3962186 1:-2.7493247836765273 2:2.551164609716436 3:1.0165876 4:1.3106191796233304
0 0:3.2323950401349575 1:1.8021944776701468 2:1.6739482 3:3.6357160602447443 4:1.3143121
0 0:3.542853025456664 1:-0.505418380690433 2:1.1738945 3:1.2645793 4:1.8253228741968746
0 0:1.3946536 1:-1.4346116944800649 2:3.272770654926237 3:2.5201468546340657 4:1.5694234333378194
0 0:1.5165567 1:-1.8333404755257092 2:1.4344017 3:1.2986472 4:0.7968102855318786
0 0:1.3978982 1:-2.8041369074379783 2:1.2345408 3:2.3782162807102027 4:2.3169649055743196
0 0:1.5951803284717174 1:2.005373226178755 2:1.8103736148615996 3:1.3079008 4:1.0169293231699386
0 0:1.1987584 1:-1.3773659010634887 2:1.5135473 3:1.1969648863982838 4:3.475608121677271
0 0:1.359146083132367 1:1.6208117399282318 2:2.535919832826068 3:1.0367018 4:1.3001618
0 0:1.2600567 1:-0.8310578308506821 2:1.3446118 3:1.0460584219892788 4:0.9181106145328451
0 0:3.5903566355121384 1:-0.9259035942344673 2:3.2697399169380907 3:3.5235541435486977 4:3.0491032656089714
0 0:1.2072076 1:0.6381480986025271 2:1.3969406189764446 3:2.6172324096479125 4:1.1316685
0 0:2.6300355338992816 1:0.18483969829348817 2:2.707708716197561 3:2.4408279268677617 4:2.2045072505955154
0 0:2.7663409000761363 1:-1.9626506509166328 2:3.4359610185433427 3:3.317652498568316 4:1.038116
0 0:2.510476407763992 1:-2.0359650504441364 2:3.3236160450373693 3:1.0262451 4:1.2963205
0 0:0.8019279594845157 1:0.7483089891278812 2:1.1600638 3:2.895312626381182 4:1.8654850453363876
0 0:1.4344540949274671 1:-0.9103298539882368 2:1.1418012538307936 3:1.1340502 4:3.3605129550449884
0 0:2.349369051118688 1:-1.8577401530372932 2:0.0 3:1.1668811 4:1.2361447
0 0:2.773254679141736 1:-3.077599538213608 2:1.2660688 3:2.743413218572511 4:1.1623993
0 0:1.0591588 1:1.3901571060209637 2:2.764482078835785 3:1.5165261 4:2.0923238497401044
0 0:3.568787569572703 1:-0.776191923114932 2:1.7170423431207957 3:3.4432746089856074 4:1.0998527
0 0:2.8988817927194277 1:1.8077701688443732 2:-0.35146497268789706 3:1.1343254 4:2.6453882466176895
0 0:2.5546206899144654 1:3.1866746520946734 2:1.0025493 3:0.9721674330012987 4:0.3935761565568396
0 0:1.2992946 1:-2.9208333797017922 2:1.0556968633479704 3:1.2312017 4:1.1472196
0 0:1.139741 1:1.0399174 2:2.964759914011036 3:2.707591546595548 4:2.327812934535583
0 0:1.4946115 1:-2.8990684547478778 2:1.6805829 3:0.946396717612741 4:2.00927388868144
0 0:1.3090789 1:0.7596463613085258 2:3.4897251273527843 3:1.097182 4:1.0706506843883161
0 0:1.1905997 1:-1.0863954600590646 2:2.9763676875942067 3:2.548631244732753 4:0.0
0 0:1.0560717 1:-1.911316201876408 2:1.2744033 3:3.564606877239399 4:2.947420725886191
